Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NC_000001.11	65419	71585	1	plus	olfactory receptor family 4 subfamily F member 5	OR4F5	79501	protein-coding	NM_001005484.2	NP_001005484.2	326	
NC_000001.11	365134	382235	1	minus	uncharacterized LOC112268260	LOC112268260	112268260	protein-coding	XM_047436352.1	XP_047292308.1	465	
NC_000001.11	450740	451678	1	minus	olfactory receptor family 4 subfamily F member 29	OR4F29	729759	protein-coding	NM_001005221.2	NP_001005221.2	312	
NC_000001.11	586287	611297	1	minus	proline-rich extensin-like protein EPR1	LOC105378947	105378947	protein-coding	XM_011542538.1	XP_011540840.1	750	
NC_000001.11	676076	720101	1	minus	olfactory receptor family 4 subfamily F member 16	OR4F16	81399	protein-coding	NM_001005277.1	NP_001005277.1	312	
NC_000001.11	923923	944574	1	plus	sterile alpha motif domain containing 11	SAMD11	148398	protein-coding	NM_152486.4	NP_689699.3	681	
NC_000001.11	944203	959256	1	minus	NOC2 like nucleolar associated transcriptional repressor	NOC2L	26155	protein-coding	NM_015658.4	NP_056473.3	749	
NC_000001.11	960584	965719	1	plus	kelch like family member 17	KLHL17	339451	protein-coding	NM_198317.3	NP_938073.1	642	
NC_000001.11	966482	975865	1	plus	pleckstrin homology domain containing N1	PLEKHN1	84069	protein-coding	NM_032129.3	NP_115505.2	611	
NC_000001.11	975198	982093	1	minus	PPARGC1 and ESRR induced regulator, muscle 1	PERM1	84808	protein-coding	NM_001291366.2	NP_001278295.1	790	
NC_000001.11	998964	1000097	1	minus	hes family bHLH transcription factor 4	HES4	57801	protein-coding	NM_021170.4	NP_066993.1	221	
NC_000001.11	1013497	1014540	1	plus	ISG15 ubiquitin like modifier	ISG15	9636	protein-coding	NM_005101.4	NP_005092.1	165	
NC_000001.11	1020120	1056116	1	plus	agrin	AGRN	375790	protein-coding	NM_198576.4	NP_940978.2	2045	
NC_000001.11	1070967	1074306	1	minus	ring finger protein 223	RNF223	401934	protein-coding	NM_001205252.2	NP_001192181.1	249	
NC_000001.11	1081823	1116089	1	minus	chromosome 1 open reading frame 159	C1orf159	54991	protein-coding	NM_017891.5	NP_060361.4	198	
NC_000001.11	1173880	1197936	1	plus	tubulin tyrosine ligase like 10	TTLL10	254173	protein-coding	NM_153254.3	NP_694986.2	404	
NC_000001.11	1203508	1206592	1	minus	TNF receptor superfamily member 18	TNFRSF18	8784	protein-coding	NM_004195.3	NP_004186.1	241	
NC_000001.11	1211340	1214153	1	minus	TNF receptor superfamily member 4	TNFRSF4	7293	protein-coding	NM_003327.4	NP_003318.1	277	
NC_000001.11	1216931	1232001	1	minus	stromal cell derived factor 4	SDF4	51150	protein-coding	NM_016176.6	NP_057260.3	355	
NC_000001.11	1232237	1235041	1	plus	beta-1,3-galactosyltransferase 6	B3GALT6	126792	protein-coding	NM_080605.4	NP_542172.2	329	
NC_000001.11	1242453	1247280	1	minus	C1q and TNF related 12	C1QTNF12	388581	protein-coding	NM_001014980.3	NP_001014980.1	302	
NC_000001.11	1253912	1273854	1	minus	ubiquitin conjugating enzyme E2 J2	UBE2J2	118424	protein-coding	NM_058167.3	NP_477515.2	259	
NC_000001.11	1280436	1292025	1	plus	sodium channel epithelial 1 subunit delta	SCNN1D	6339	protein-coding	NM_001130413.4	NP_001123885.2	802	
NC_000001.11	1292391	1307930	1	minus	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ACAP3	116983	protein-coding	NM_030649.3	NP_085152.2	834	
NC_000001.11	1308597	1311677	1	plus	pseudouridine synthase like 1	PUSL1	126789	protein-coding	NM_153339.3	NP_699170.1	303	
NC_000001.11	1311600	1324660	1	minus	integrator complex subunit 11	INTS11	54973	protein-coding	NM_017871.6	NP_060341.2	600	
NC_000001.11	1324802	1328896	1	plus	ceramide-1-phosphate transfer protein	CPTP	80772	protein-coding	NM_001029885.2	NP_001025056.1	214	
NC_000001.11	1331280	1335314	1	plus	taste 1 receptor member 3	TAS1R3	83756	protein-coding	NM_152228.3	NP_689414.2	852	
NC_000001.11	1335278	1349418	1	minus	dishevelled segment polarity protein 1	DVL1	1855	protein-coding	NM_004421.3	NP_004412.2	670	
NC_000001.11	1352689	1363541	1	minus	matrix remodeling associated 8	MXRA8	54587	protein-coding	NM_032348.4	NP_115724.1	442	
NC_000001.11	1373736	1375207	1	minus	aurora kinase A interacting protein 1	AURKAIP1	54998	protein-coding	NM_017900.3	NP_060370.1	199	
